O_Purpose,D_Purpose,Distance,Travel_Time,Age_Group,Gender,License,HH_Size,Num_Student,Num_Driver,Num_Worker,Num_Vehicle,HH_Income,HH_Trips,TRAVEL_MODE
9,1,6.371,30,11,1,1,2,0,2,0,2,7,5,3
1,4,1.732,14,12,1,1,5,2,3,1,3,7,12,3
1,2,11.752,24,8,1,1,5,2,3,1,3,7,12,3
1,8,2.064,15,2,1,2,5,2,3,1,3,7,12,4
8,8,1.964,10,2,1,2,5,2,3,1,3,7,12,4
8,8,2.064,15,2,2,2,5,2,3,1,3,7,12,4
8,8,1.964,10,2,2,2,5,2,3,1,3,7,12,4
1,2,7.119,25,10,1,1,2,0,2,2,3,5,2,3
2,1,7.076,35,10,1,1,2,0,2,2,3,5,2,3
1,1,3.034,15,11,2,1,1,0,1,0,1,7,2,3
1,1,2.23,15,11,2,1,1,0,1,0,1,7,2,3
1,4,3.206,15,12,2,1,2,0,2,2,1,7,8,4
4,1,1.737,15,12,2,1,2,0,2,2,1,7,8,4
1,4,3.206,15,12,1,1,2,0,2,2,1,7,8,4
4,1,1.737,15,12,1,1,2,0,2,2,1,7,8,4
4,1,5.143,30,10,2,1,4,2,2,1,2,8,18,3
1,9,3.265,15,10,1,1,4,2,2,1,2,8,18,3
9,1,3.27,17,10,1,1,4,2,2,1,2,8,18,3
1,9,3.195,12,3,1,2,4,2,2,1,2,8,18,4
9,1,3.2,15,3,1,2,4,2,2,1,2,8,18,4
4,1,5.143,30,3,1,2,4,2,2,1,2,8,18,4
1,9,3.265,15,2,2,2,4,2,2,1,2,8,18,4
9,9,2.089,15,2,2,2,4,2,2,1,2,8,18,4
9,1,3.79,15,2,2,2,4,2,2,1,2,8,18,4
1,4,5.182,30,10,1,1,1,0,1,1,1,5,4,3
4,1,5.526,20,10,1,1,1,0,1,1,1,5,4,3
1,4,1.321,15,10,1,1,1,0,1,1,1,5,4,3
4,1,1.318,15,10,1,1,1,0,1,1,1,5,4,3
1,9,8.845,30,11,1,1,1,0,1,0,1,6,4,3
9,4,6.06,30,11,1,1,1,0,1,0,1,6,4,4
1,4,5.148,17,7,1,1,4,2,2,2,2,5,14,3
4,1,5.609,15,7,1,1,4,2,2,2,2,5,14,3
1,4,5.148,17,8,2,1,4,2,2,2,2,5,14,4
4,1,5.608,15,8,2,1,4,2,2,2,2,5,14,4
1,4,5.148,17,2,2,2,4,2,2,2,2,5,14,4
4,1,5.608,15,2,2,2,4,2,2,2,2,5,14,4
1,4,5.148,17,2,1,2,4,2,2,2,2,5,14,4
4,1,5.608,15,2,1,2,4,2,2,2,2,5,14,4
4,1,7.679,15,9,1,1,4,2,2,2,2,7,6,3
9,1,4.538,10,11,2,1,1,0,1,1,2,6,5,3
1,4,1.822,15,7,1,1,2,0,2,2,2,5,10,3
4,9,6.852,15,7,1,1,2,0,2,2,2,5,10,3
9,1,5.996,15,7,1,1,2,0,2,2,2,5,10,3
1,9,0.408,15,8,1,1,2,0,2,2,4,8,11,1
9,1,0.408,19,8,1,1,2,0,2,2,4,8,11,1
1,9,0.408,15,8,1,1,2,0,2,2,4,8,11,1
9,1,0.408,19,8,1,1,2,0,2,2,4,8,11,1
1,9,6.133,25,8,1,1,2,0,2,2,4,8,11,3
9,1,6.112,20,8,1,1,2,0,2,2,4,8,11,3
9,1,1.486,10,9,2,1,1,1,1,1,1,8,6,3
9,9,0.367,11,9,2,1,1,0,1,1,1,7,8,1
4,9,11.494,21,9,2,1,1,0,1,1,1,7,8,3
1,9,1.456,10,10,2,1,4,2,2,2,2,7,13,3
1,8,2.949,20,2,1,2,4,2,2,2,2,7,13,4
8,1,2.937,15,2,1,2,4,2,2,2,2,7,13,4
1,4,2.942,15,11,1,1,2,0,2,0,2,4,12,4
4,1,2.776,18,11,1,1,2,0,2,0,2,4,12,4
1,4,1.659,11,11,1,1,2,0,2,0,2,4,12,3
1,4,2.942,15,11,2,1,2,0,2,0,2,4,12,3
4,1,2.776,18,11,2,1,2,0,2,0,2,4,12,3
1,4,2.377,12,11,2,1,2,0,2,0,2,4,12,3
4,1,2.364,15,11,2,1,2,0,2,0,2,4,12,3
1,2,2.081,10,8,1,1,3,0,3,3,3,5,2,3
4,2,4.163,10,10,2,1,3,0,1,2,1,4,6,3
2,9,6.405,68,10,2,1,3,0,1,2,1,4,6,3
9,4,3.468,15,12,1,1,1,0,1,1,1,5,9,3
4,1,4.81,17,12,1,1,1,0,1,1,1,5,9,3
1,9,1.017,35,12,1,1,1,0,1,1,1,5,9,1
9,1,1.326,35,12,1,1,1,0,1,1,1,5,9,1
1,4,4.878,20,10,1,1,2,0,2,1,2,8,4,3
4,1,4.93,20,10,1,1,2,0,2,1,2,8,4,3
1,2,2.66,15,7,1,1,3,0,3,2,3,8,10,3
4,9,2.967,15,7,1,1,3,0,3,2,3,8,10,3
1,9,6.288,17,8,2,1,4,0,2,1,2,4,22,4
1,9,9.16,50,7,1,1,4,0,2,1,2,4,22,3
1,9,9.16,50,1,1,2,4,0,2,1,2,4,22,4
1,9,9.16,50,1,1,2,4,0,2,1,2,4,22,4
1,9,4.259,30,11,1,1,1,0,1,0,0,3,4,4
9,1,4.241,30,11,1,1,1,0,1,0,0,3,4,4
1,9,5.897,30,11,1,1,1,0,1,0,0,3,4,4
9,1,5.866,30,11,1,1,1,0,1,0,0,3,4,4
4,1,0.349,10,12,2,1,1,0,1,1,1,3,5,3
1,4,2.986,15,12,2,1,1,0,1,1,1,3,5,3
4,1,3.187,15,12,2,1,1,0,1,1,1,3,5,3
1,9,2.379,15,10,1,1,1,0,1,1,1,7,2,3
9,1,2.384,16,10,1,1,1,0,1,1,1,7,2,3
2,4,2.595,10,7,1,1,1,0,1,1,2,6,4,3
9,1,0.699,17,10,1,1,1,0,1,1,1,7,9,3
4,9,7.917,30,10,1,1,1,0,1,1,1,7,9,2
4,1,1.202,18,10,1,1,1,0,1,1,1,7,9,3
4,1,1.974,18,10,1,1,1,0,1,1,1,8,4,3
1,4,2.028,15,9,2,1,1,0,1,1,1,2,4,1
4,1,1.954,20,9,2,1,1,0,1,1,1,2,4,1
4,1,2.348,32,12,1,2,1,0,0,0,0,2,5,2
1,4,0.849,21,12,1,2,1,0,0,0,0,2,5,2
4,1,2.574,57,12,1,2,1,0,0,0,0,2,5,2
1,4,3.185,13,11,1,1,1,0,1,1,1,5,4,3
4,2,3.403,16,11,1,1,1,0,1,1,1,5,4,3
9,4,3.374,25,10,2,2,1,0,0,1,0,1,7,2
4,1,5.653,30,10,2,2,1,0,0,1,0,1,7,2
1,9,2.804,60,10,2,2,1,0,0,1,0,1,7,1
9,1,2.83,15,10,2,2,1,0,0,1,0,1,7,1
1,2,2.056,10,8,1,1,3,0,2,2,2,7,22,3
2,9,5.524,30,8,1,1,3,0,2,2,2,7,22,4
9,4,1.044,10,8,1,1,3,0,2,2,2,7,22,4
9,4,4.637,10,8,1,1,3,0,2,2,2,7,22,4
1,9,2.056,10,8,1,1,3,0,2,2,2,7,22,4
9,9,5.524,30,8,1,1,3,0,2,2,2,7,22,3
9,4,1.044,10,8,1,1,3,0,2,2,2,7,22,3
9,4,4.637,10,8,1,1,3,0,2,2,2,7,22,3
1,9,2.056,10,1,2,2,3,0,2,2,2,7,22,4
9,9,5.524,30,1,2,2,3,0,2,2,2,7,22,4
9,9,1.044,10,1,2,2,3,0,2,2,2,7,22,4
9,9,4.636,10,1,2,2,3,0,2,2,2,7,22,4
1,9,4.721,25,12,2,1,2,0,2,1,2,7,6,3
4,1,4.428,15,12,2,1,2,0,2,1,2,7,6,3
4,9,2.862,11,11,1,1,2,0,2,1,2,7,6,3
8,8,5.435,40,5,2,2,2,1,1,1,2,6,6,4
8,1,7.134,45,5,2,2,2,1,1,1,2,6,6,4
1,2,6.414,35,7,2,1,1,0,1,1,0,1,6,2
2,9,6.892,25,7,2,1,1,0,1,1,0,1,6,2
1,2,4.107,13,10,1,1,2,0,2,1,1,5,14,3
1,4,3.311,13,10,1,1,2,0,2,1,1,5,14,3
4,1,3.796,12,10,1,1,2,0,2,1,1,5,14,3
1,4,1.581,40,10,1,1,2,0,2,1,1,5,14,3
1,9,4.257,22,10,1,1,2,0,2,1,1,5,14,2
9,1,4.557,25,10,1,1,2,0,2,1,1,5,14,2
1,4,3.429,13,10,1,1,2,0,2,1,1,5,14,4
4,1,3.831,12,10,1,1,2,0,2,1,1,5,14,4
9,9,0.544,14,7,1,1,1,0,1,1,1,7,5,3
9,2,1.882,11,8,2,1,2,0,2,2,1,7,8,4
2,1,1.99,16,8,2,1,2,0,2,2,1,7,8,4
1,2,1.176,10,7,1,1,2,1,2,1,1,5,16,1
2,1,1.176,15,7,1,1,2,1,2,1,1,5,16,1
1,4,1.867,15,7,1,1,2,1,2,1,1,5,16,3
4,1,1.852,20,7,1,1,2,1,2,1,1,5,16,3
4,1,1.852,20,7,2,1,2,1,2,1,1,5,16,3
2,4,11.093,46,7,1,1,3,1,2,2,2,7,9,3
4,1,1.757,15,7,1,1,3,1,2,2,2,7,9,3
4,1,1.757,15,1,1,2,3,1,2,2,2,7,9,4
4,1,2.512,19,9,2,1,2,0,2,2,3,8,6,3
4,1,2.512,19,9,1,1,2,0,2,2,3,8,6,4
1,9,1.587,18,8,1,1,1,0,1,1,1,6,8,3
4,4,2.806,15,8,1,1,1,0,1,1,1,6,8,3
9,1,0.685,11,8,1,1,1,0,1,1,1,6,8,3
2,9,0.796,18,8,1,1,1,0,1,1,1,6,8,1
9,2,0.56,16,8,1,1,1,0,1,1,1,6,8,1
2,4,2.612,20,8,1,1,1,0,1,1,1,6,8,3
4,2,2.702,10,8,1,1,1,0,1,1,1,6,8,3
1,4,4.092,20,9,1,1,4,0,2,1,3,7,5,3
4,1,3.878,16,9,1,1,4,0,2,1,3,7,5,3
9,4,2.774,15,13,2,1,1,0,1,0,1,3,2,3
4,4,2.757,15,13,2,1,1,0,1,0,1,3,2,3
1,2,1.272,24,9,1,1,2,0,2,2,1,7,5,2
2,9,2.663,43,9,1,1,2,0,2,2,1,7,5,2
9,1,1.397,25,9,1,1,2,0,2,2,1,7,5,2
1,9,10.686,20,9,2,1,2,0,2,2,4,7,8,3
9,1,10.703,20,9,2,1,2,0,2,2,4,7,8,3
1,4,5.333,20,10,1,1,1,0,1,1,2,8,4,3
4,1,5.321,10,10,1,1,1,0,1,1,2,8,4,3
2,4,5.675,15,9,2,1,2,0,2,2,2,7,6,3
1,4,3.095,15,11,1,1,1,0,1,0,1,5,4,3
4,1,3.108,15,11,1,1,1,0,1,0,1,5,4,3
1,4,5.311,15,11,1,1,2,0,2,1,2,5,8,4
4,1,4.746,15,11,1,1,2,0,2,1,2,5,8,4
1,4,7.984,20,11,2,1,2,0,2,1,2,5,8,3
4,1,7.974,20,11,2,1,2,0,2,1,2,5,8,3
1,4,5.311,15,11,2,1,2,0,2,1,2,5,8,3
4,1,4.745,15,11,2,1,2,0,2,1,2,5,8,3
4,2,1.426,11,8,1,1,4,2,2,2,2,6,25,4
2,1,5.852,27,8,1,1,4,2,2,2,2,6,25,3
9,9,8.697,22,2,1,2,4,2,2,2,2,6,25,4
9,4,8.676,26,2,1,2,4,2,2,2,2,6,25,4
1,2,5.235,13,7,2,1,1,0,1,1,2,8,4,3
4,1,8.063,12,7,2,1,1,0,1,1,2,8,4,3
1,4,0.675,20,10,1,2,2,1,0,1,0,2,4,1
4,1,0.675,13,10,1,2,2,1,0,1,0,2,4,1
1,4,1.783,10,6,2,2,2,1,0,1,0,2,4,3
4,1,1.704,12,6,2,2,2,1,0,1,0,2,4,3
9,4,0.927,10,10,1,1,2,0,2,2,2,6,5,3
4,1,4.246,15,10,1,1,2,0,2,2,2,6,5,3
1,4,1.44,10,11,1,1,2,0,2,1,3,6,12,3
4,4,6.251,20,11,1,1,2,0,2,1,3,6,12,3
4,1,2.851,20,11,1,1,2,0,2,1,3,6,12,3
4,1,4.79,26,11,1,1,2,0,2,1,3,6,12,3
1,9,6.265,15,11,2,1,2,0,2,1,3,6,12,3
9,4,3.208,10,11,2,1,2,0,2,1,3,6,12,3
4,1,2.854,15,11,2,1,2,0,2,1,3,6,12,3
4,1,4.79,26,11,2,1,2,0,2,1,3,6,12,4
1,9,2.492,12,12,2,1,1,0,1,0,1,1,6,3
9,9,3.245,13,12,2,1,1,0,1,0,1,1,6,3
4,1,7.151,25,12,2,1,1,0,1,0,1,1,6,3
4,1,2.628,11,12,2,1,1,0,1,0,1,1,6,3
9,9,1.567,10,9,1,1,4,2,2,1,1,1,23,3
9,4,3.617,10,9,1,1,4,2,2,1,1,1,23,3
4,1,2.278,10,9,1,1,4,2,2,1,1,1,23,3
9,4,6.072,15,6,2,1,4,2,2,1,1,1,23,4
4,1,2.278,10,6,2,1,4,2,2,1,1,1,23,4
8,1,1.097,30,2,2,2,4,2,2,1,1,1,23,1
1,8,1.207,15,2,2,2,4,2,2,1,1,1,23,1
1,9,2.679,15,9,1,1,1,0,1,0,1,2,5,3
9,9,0.626,18,9,1,1,1,0,1,0,1,2,5,3
